file,line,kind,arg,cat,expr
"Assets/DragonBound/Runtime/Presentation/DragonBoundScreenView.cs",275,"Transform.Find","ART_ScreenBackground/GameOverlayController","运行时","var host = transform.Find(""ART_ScreenBackground/GameOverlayController"") ??"
"Assets/DragonBound/Runtime/Presentation/DragonBoundScreenView.cs",276,"Transform.Find","GameOverlayController","运行时","transform.Find(""GameOverlayController"");"
"Assets/DragonBound/Runtime/Presentation/DragonBoundScreenView.cs",290,"Transform.Find","campPanel","运行时","var campPanel = transform.Find(""campPanel"") ??"
"Assets/DragonBound/Runtime/Presentation/DragonBoundScreenView.cs",291,"Transform.Find","ART_ScreenBackground/campPanel","运行时","transform.Find(""ART_ScreenBackground/campPanel"");"
"Assets/DragonBound/Runtime/Presentation/DragonBoundScreenView.cs",311,"Transform.Find","ART_ScreenBackground/RecruitmentButtonController","运行时","var host = transform.Find(""ART_ScreenBackground/RecruitmentButtonController"") ??"
"Assets/DragonBound/Runtime/Presentation/DragonBoundScreenView.cs",312,"Transform.Find","ART_ScreenBackground/ART_RecruitButton","运行时","transform.Find(""ART_ScreenBackground/ART_RecruitButton"");"
"Assets/DragonBound/Runtime/Presentation/DragonBoundScreenView.cs",328,"Transform.Find","ART_ScreenBackground/ART_RecruitButton","运行时","var target = transform.Find(""ART_ScreenBackground/ART_RecruitButton"");"
"Assets/DragonBound/Runtime/Presentation/DragonBoundScreenView.cs",440,"Transform.Find","HpBg","运行时","var heartRoot = goal?.Find(""HpBg"") as RectTransform;"
"Assets/DragonBound/Runtime/Presentation/DragonBoundScreenView.cs",498,"GetChild","index","运行时","var child = heartRoot.GetChild(index);"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",201,"Transform.Find","ART_EnemyHpTrack","运行时","var healthTrack = transform.Find(""ART_EnemyHpTrack"");"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",260,"Transform.Find","ART_EnemyHpTrack","运行时","var healthTrack = transform.Find(""ART_EnemyHpTrack"");"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",319,"Transform.Find","ART_EnemyHpTrack","运行时","var healthTrack = transform.Find(""ART_EnemyHpTrack"");"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",953,"Transform.Find","ART_EnemyHpTrack","运行时","var healthTrack = transform.Find(""ART_EnemyHpTrack"");"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",955,"Transform.Find","ART_EnemyHpFill","运行时","? healthTrack.Find(""ART_EnemyHpFill"")"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",985,"Transform.Find","ART_EnemyHpTrack","运行时","var track = transform.Find(""ART_EnemyHpTrack"");"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",986,"Transform.Find","overHp","运行时","var overHpTransform = track != null ? track.Find(""overHp"") : null;"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",1001,"Transform.Find","ART_EnemyHpTrack","运行时","var track = transform.Find(""ART_EnemyHpTrack"");"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",1057,"Transform.Find","ART_EnemyHpTrack","运行时","var healthTrack = transform.Find(""ART_EnemyHpTrack"");"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",1065,"Transform.Find","Image","运行时","var imageTransform = animationRoot.Find(""Image"");"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",1082,"Transform.Find","Animator","运行时","var authoredAnimatorTransform = animationRoot.Find(""Animator"");"
"Assets/DragonBound/Runtime/Presentation/FixedBoardCanvasView.cs",121,"Transform.Find","ART_FixedBoardCanvasRuntime","运行时","var existing = targetScreenRoot.Find(""ART_FixedBoardCanvasRuntime"");"
"Assets/DragonBound/Runtime/Presentation/FixedBoardCanvasView.cs",288,"Transform.Find","ART_DeploymentFxLayer","运行时","deploymentFxLayer = parent.Find(""ART_DeploymentFxLayer"") as RectTransform;"
"Assets/DragonBound/Runtime/Presentation/FixedBoardCanvasView.cs",329,"Transform.Find","ART_DeploymentGuideLayer","运行时","deploymentGuideLayer = parent.Find(""ART_DeploymentGuideLayer"") as RectTransform;"
"Assets/DragonBound/Runtime/Presentation/FixedBoardCanvasView.cs",562,"Transform.Find","ART_ScreenBackground/campPanel","运行时","var campPanel = screenRoot.Find(""ART_ScreenBackground/campPanel"");"
"Assets/DragonBound/Runtime/Presentation/FixedBoardCanvasView.cs",834,"Transform.Find","AiUnitLayer","运行时","var aiUnits = screenRoot.Find(""AiUnitLayer"");"
